state,yearofloss,amount_paid,cum_paid
SC,1986,1237318.13,4294790.43
SD,1986,309745.26,1138441.3800000001
TN,1986,291424.41000000003,8858302.86
TX,1986,6750469.37,533667181.71000004
UT,1986,462064.26999999996,4419032.67
VA,1986,129193.85999999999,52110171.54
VI,1986,4469.09,2149657.17
VT,1986,21707.2,980931.52
WA,1986,3614073.76,13354840.63
WI,1986,1052212.07,3031113.7
WV,1986,64776.83,64401719.35
WY,1986,12659.08,993389.6799999999
AK,1987,12871.63,411102.2
AL,1987,139322.55000000002,78917540.11
AR,1987,3078345.9699999997,13298558.2
AZ,1987,35713.71,13411277.700000001
CA,1987,177230.08,102920722.56
CO,1987,111327.72,3213461.3
CT,1987,850017.91,33252151.21
DC,1987,0,513879.88
DE,1987,0,1745936.7599999998
FL,1987,1408817.21,132360749.98
GA,1987,236472.11,8483418.81
HI,1987,1061089.46,8861381.86
IA,1987,202661.71,3163499.79
ID,1987,0,513055.92
IL,1987,15660631.72,79067564.64
IN,1987,247911.61,12850664.63
KS,1987,599077.41,12739481.12
KY,1987,154594.12,46361848
LA,1987,5754344.59,456783437.96
MA,1987,7248023.02,41465168.32
MD,1987,59804.53,19305460.32
ME,1987,10240116.85,15274748.59
MI,1987,470336.36000000004,21763560.61
MN,1987,1343121.35,17104340.29
MO,1987,193512.69,105290220.08
MS,1987,5968925.18,103156379.06
NC,1987,2575151.5300000003,15024181.65
ND,1987,152466.99,8749723.54
NE,1987,107229.69,9398926.34
NH,1987,1239870.03,3431801.45
NJ,1987,5747669.02,113158163.82
NM,1987,6619.0599999999995,383046.01
NV,1987,4026.42,1924864.24
NY,1987,4405488.44,110067432.83
OH,1987,1997177.54,29216198.82
OK,1987,2814385.6,57756450.93
OR,1987,131672.07,2817490.74
PA,1987,3868815.49,62122891.71
PR,1987,6259864.909999999,33489030.25
RI,1987,120421.54,7686245.35
SC,1987,5748177.7,10042968.13
SD,1987,36688,1175129.3800000001
TN,1987,983024.9,9841327.76
TX,1987,10191392.29,543858574
UT,1987,37886.8,4456919.47
VA,1987,4486899.79,56597071.33
VI,1987,196729.19,2346386.36
VT,1987,121195.42,1102126.94
WA,1987,296357.17,13651197.8
WI,1987,11627.66,3042741.36
WV,1987,277758.37,64679477.72
WY,1987,0,993389.6799999999
AK,1988,3698.08,414800.28
AL,1988,64776.64,78982316.75
AR,1988,418065.84,13716624.04
AZ,1988,258840.36,13670118.06
CA,1988,4195701.1899999995,107116423.75
CO,1988,6802.48,3220263.78
CT,1988,91173.39,33343324.599999998
DE,1988,17710,1763646.7599999998
FL,1988,11960430.26,144321180.24
GA,1988,93383.46,8576802.27
GU,1988,688.82,12181
HI,1988,1592467.51,10453849.370000001
IL,1988,247927.58,79315492.22
IN,1988,15875.27,12866539.9
KS,1988,16780.45,12756261.57
KY,1988,200647.66999999998,46562495.67
LA,1988,19498948.45,476282386.41
MA,1988,974423.93,42439592.25
MD,1988,163255.56999999998,19468715.89
ME,1988,31199.53,15305948.12
MI,1988,449971.4,22213532.01
MN,1988,0,17104340.29
MO,1988,30219.510000000002,105320439.59
MS,1988,668731.11,103825110.17
NC,1988,1540092.76,16564274.41
ND,1988,0,8749723.54
NE,1988,2661,9401587.34
NH,1988,9949.04,3441750.49
NJ,1988,874969.4,114033133.22
NM,1988,101912.89,484958.9
NV,1988,0,1924864.24
NY,1988,511846.72000000003,110579279.55
OH,1988,250661.16,29466859.98
OK,1988,399019.7,58155470.63
OR,1988,4510.11,2822000.85
PA,1988,578181.87,62701073.58
PR,1988,1224488.81,34713519.06
RI,1988,5004,7691249.35
SC,1988,335136.10000000003,10378104.23
SD,1988,25,1175154.3800000001
TN,1988,99961.03,9941288.79
TX,1988,3727854.35,547586428.35
UT,1988,0,4456919.47
VA,1988,790409.94,57387481.269999996
VI,1988,57246.18,2403632.54
VT,1988,0,1102126.94
WA,1988,14308.32,13665506.120000001
WI,1988,11564.47,3054305.83
WV,1988,110708.06999999999,64790185.79
WY,1988,29018,1022407.6799999999
AK,1989,17214.379999999997,432014.66
AL,1989,483412.14,79465728.89
AR,1989,963187.54,14679811.58
AZ,1989,85566.56999999999,13755684.63
CA,1989,258678.06,107375101.81
CO,1989,18366.29,3238630.07
CT,1989,887361.1799999999,34230685.78
DC,1989,0,513879.88
DE,1989,1539040.25,3302687.01
FL,1989,1874526.3,146195706.54
GA,1989,942971.64,9519773.91
HI,1989,114585.8,10568435.17
IA,1989,4802.929999999999,3168302.72
ID,1989,2519.6,515575.52
IL,1989,580663.75,79896155.97
IN,1989,1040561.78,13907101.68
KS,1989,520964.85000000003,13277226.42
KY,1989,10264973.34,56827469.01
LA,1989,74469117.32,550751503.73
MA,1989,214874.85,42654467.1
MD,1989,1461153.21,20929869.1
ME,1989,103553.53,15409501.649999999
MI,1989,732308.98,22945840.990000002
MN,1989,528066.52,17632406.810000002
MO,1989,285153.15,105605592.74
MS,1989,1098657.03,104923767.2
MT,1989,1494.45,1997213.08
NC,1989,17699642.439999998,34263916.849999994
ND,1989,867026.82,9616750.36
NE,1989,79977.77,9481565.11
NH,1989,3342.7200000000003,3445093.21
NJ,1989,6926303.54,120959436.75999999
NM,1989,7154.03,492112.93
NV,1989,2853.72,1927717.96
NY,1989,1884684.0799999998,112463963.63
OH,1989,2061365.96,31528225.94
OK,1989,1308519.09,59463989.72
OR,1989,1790.3,2823791.15
PA,1989,3543298.77,66244372.35
PR,1989,2106715.7199999997,36820234.78
RI,1989,150,7691399.35
SC,1989,361836511.41,372214615.64000005
SD,1989,500,1175654.3800000001
TN,1989,1001981.8800000001,10943270.67
TX,1989,154817119.8,702403548.1500001
UT,1989,13545.880000000001,4470465.35
VA,1989,1964267.22,59351748.489999995
VI,1989,6081833.81,8485466.35
VT,1989,23513.19,1125640.1300000001
WA,1989,480014.64,14145520.76
WI,1989,159159.18,3213465.01
WV,1989,1665114.5,66455300.29
WY,1989,7976.98,1030384.6599999999
AK,1990,73881.12,505895.77999999997
AL,1990,9502649.15,88968378.04
AR,1990,3640466.91,18320278.49
AZ,1990,1233472.2,14989156.83
CA,1990,174725.94,107549827.75
CO,1990,41410.94,3280041.01
CT,1990,157720.43,34388406.21
DC,1990,343163.37,857043.25
DE,1990,668.21,3303355.2199999997
FL,1990,1490725.82,147686432.36
GA,1990,9740474.55,19260248.46
